experiment,shape,closed,method,parameterization,n_points,noise_sigma,trial,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
noise_robustness,s_curve,False,bspline_interp,chord,40,0.0,3,1.3419571839225821e-05,0.004513606466912612,0.012658141097988348,9.67829522349011e-05,0.0007647999991604593
noise_robustness,s_curve,False,poly_ls,chord,40,0.0,3,0.02768055235583341,0.06961139494024185,0.0946833087817666,0.0001480237867090471,0.0011128000005555805
noise_robustness,s_curve,False,bspline_ls,chord,40,0.0,3,0.018203607272281503,0.04778892124557445,0.07003015828880856,0.00011165677217642835,0.0005299000004015397
noise_robustness,s_curve,False,cubic_spline,chord,40,0.01,3,9.49175605553034e-05,0.035070536222679694,0.06719425828985771,0.0006491709699683116,0.0020578999974532053
noise_robustness,s_curve,False,bspline_interp,chord,40,0.01,3,9.440110358049197e-05,0.03608769999095565,0.0671942580069327,0.0006575074212236769,0.0011305999978503678
noise_robustness,s_curve,False,poly_ls,chord,40,0.01,3,0.025729353989479002,0.062391570435903265,0.07838302496968813,0.00014477754877530207,0.0007017999996605795
noise_robustness,s_curve,False,bspline_ls,chord,40,0.01,3,0.017589328167483327,0.0415731930723499,0.05831843276155053,0.00010724462248351888,0.0003491000024951063
noise_robustness,s_curve,False,cubic_spline,chord,40,0.02,3,0.0001759941515132707,0.06413543466446261,0.14437809530783888,0.0010045022519646338,0.0016719000013836194
noise_robustness,s_curve,False,bspline_interp,chord,40,0.02,3,0.00017538573620407287,0.06557654921662764,0.14437809484580094,0.0010195790224567162,0.0008479999996779952
noise_robustness,s_curve,False,poly_ls,chord,40,0.02,3,0.02445996036959623,0.050737985246535736,0.06694422482647215,0.00013543548146509915,0.000540600001841085
noise_robustness,s_curve,False,bspline_ls,chord,40,0.02,3,0.016595189797495885,0.024500253873590984,0.047819015890418815,0.00011204559015855637,0.00018880000061471947
noise_robustness,s_curve,False,cubic_spline,chord,40,0.04,3,0.000226663664086386,0.08169365320450452,0.13285309927637037,0.0015601820757494376,0.0022594000001845416
