experiment,shape,closed,method,parameterization,n_points,noise_sigma,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
node_count,s_curve,False,cubic_spline,chord,12,0.0,1.9072170535385712e-05,0.02392005385276693,0.06499094747717962,0.00010599932590958401,0.0005306999992171768
node_count,s_curve,False,bspline_interp,chord,12,0.0,1.9240834650395316e-05,0.028524280686457362,0.06511521528669975,0.0001173192567531894,0.0003357999994477723
node_count,s_curve,False,poly_ls,chord,12,0.0,0.05248015433101113,0.12689742448895242,0.194462990456191,0.00011409801763767256,0.0004227999997965526
node_count,s_curve,False,bspline_ls,chord,12,0.0,0.017533071551653363,0.052320088484999555,0.08095409785321499,0.00012218122369682497,0.0001430000011168886
node_count,s_curve,False,cubic_spline,chord,20,0.0,1.3401816810435227e-05,0.00962583362612583,0.028312854992617393,0.0001022330248083373,0.000705400001606904
node_count,s_curve,False,bspline_interp,chord,20,0.0,1.3906709592208189e-05,0.08360260904257155,0.43580261340835297,0.0001943537290443767,0.00046519999887095764
node_count,s_curve,False,poly_ls,chord,20,0.0,0.02934018612395639,0.09158373920681262,0.11366992139504546,0.00012588449836212716,0.000338700003339909
node_count,s_curve,False,bspline_ls,chord,20,0.0,0.015918754733799077,0.10353418707837564,0.22966916100220053,0.00013095803950990926,0.0001863999968918506
node_count,s_curve,False,cubic_spline,chord,32,0.0,9.513347474890373e-06,0.0067137329745767665,0.02973512481355768,9.836223530857761e-05,0.0007302000012714416
node_count,s_curve,False,bspline_interp,chord,32,0.0,9.511483369526338e-06,0.006715588015428965,0.029735124576924385,9.841525645014023e-05,0.00033599999733269215
node_count,s_curve,False,poly_ls,chord,32,0.0,0.027611826829434208,0.06812455469285186,0.10510894320082319,0.00015402003375644945,0.00031230000240611844
node_count,s_curve,False,bspline_ls,chord,32,0.0,0.01900725764353479,0.05476069156943261,0.0906632795707102,0.00010738335062962718,0.00016799999866634607
node_count,s_curve,False,cubic_spline,chord,48,0.0,1.046142906259896e-05,0.003120931274401672,0.005773950952166483,9.49100959255198e-05,0.0008682000006956514
node_count,s_curve,False,bspline_interp,chord,48,0.0,1.0461805706153205e-05,0.003121945501489191,0.005773945706143225,9.4909880030501e-05,0.0004102000020793639
node_count,s_curve,False,poly_ls,chord,48,0.0,0.02769204087877668,0.05348432122299415,0.07045218521791255,0.00017509086494195696,0.0005463000015879516
