experiment,shape,closed,method,parameterization,n_points,noise_sigma,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
parameterization_comparison,sine_modulated,False,cubic_spline,uniform,42,0.0,3.68820540941768e-05,0.015188510781095965,0.06240390983755355,0.0014565929257036167,0.0007119000001694076
parameterization_comparison,sine_modulated,False,cubic_spline,chord,42,0.0,8.63912416284984e-05,0.01656735673599038,0.04629780436030906,0.0006002864802007325,0.000747499998396961
parameterization_comparison,sine_modulated,False,cubic_spline,centripetal,42,0.0,3.163813721330476e-05,0.010358128205212525,0.031628858012451154,0.0008250808748743322,0.0009424000018043444
parameterization_comparison,sine_modulated,False,cubic_spline,foley_nielsen,42,0.0,7.679817720765566e-05,0.015197075459903715,0.0412888218438266,0.000521033824201503,0.0012120999999751803
parameterization_comparison,ellipse,True,cubic_spline,uniform,42,0.0,3.276853605193975e-05,0.011700643688837284,0.026650681866554685,0.0015567158230037673,0.00094600000011269
parameterization_comparison,ellipse,True,cubic_spline,chord,42,0.0,1.5249415243226593e-05,0.00499842762680376,0.00938993999001658,0.0002623152387121319,0.001302700002270285
parameterization_comparison,ellipse,True,cubic_spline,centripetal,42,0.0,1.6845725709083202e-05,0.007273898479141426,0.015171857824874306,0.0007835455371552326,0.0010685999986890238
parameterization_comparison,ellipse,True,cubic_spline,foley_nielsen,42,0.0,1.60106585256319e-05,0.005058850041634581,0.010141245523687219,0.00026472091095631036,0.0015595000004395843
parameterization_comparison,cardioid,True,cubic_spline,uniform,42,0.0,5.361398649210806e-05,0.019766479009023265,0.05460307572746754,0.001993109315929318,0.0009026999978232197
parameterization_comparison,cardioid,True,cubic_spline,chord,42,0.0,3.3521376367960655e-05,0.005546799817569915,0.011985790310825651,0.0003893528333565307,0.0009437000007892493
parameterization_comparison,cardioid,True,cubic_spline,centripetal,42,0.0,2.1746049487143382e-05,0.013016762320443511,0.030488522205881198,0.0009175100273007125,0.0011023000006389339
parameterization_comparison,cardioid,True,cubic_spline,foley_nielsen,42,0.0,3.456126153024573e-05,0.00548513745648059,0.012053276906626444,0.00039937634270731094,0.001335999997536419
