t,model,s,i,r,R0,beta0,gamma,mu
0.0,demographic_sir_R0_comparison,0.9999,0.0001,0.0,2.0,104.02857142857142,52.0,0.014285714285714285
0.019178082191780823,demographic_sir_R0_comparison,0.9995579193992853,0.0002710272178156482,0.0001710533828992991,2.0,104.02857142857142,52.0,0.014285714285714285
0.038356164383561646,demographic_sir_R0_comparison,0.9986319648040866,0.0007336986110760583,0.0006343365848374707,2.0,104.02857142857142,52.0,0.014285714285714285
0.057534246575342465,demographic_sir_R0_comparison,0.9961336094163189,0.0019799275702634847,0.0018864630134177265,2.0,104.02857142857142,52.0,0.014285714285714285
0.07671232876712329,demographic_sir_R0_comparison,0.9894512273589319,0.0052977564493508255,0.005251016191717508,2.0,104.02857142857142,52.0,0.014285714285714285
0.0958904109589041,demographic_sir_R0_comparison,0.9719865595369883,0.013860583218793188,0.014152857244218655,2.0,104.02857142857142,52.0,0.014285714285714285
0.11506849315068493,demographic_sir_R0_comparison,0.928959879178164,0.03425508378586763,0.0367850370359688,2.0,104.02857142857142,52.0,0.014285714285714285
0.13424657534246576,demographic_sir_R0_comparison,0.8366046422215445,0.07426662835511005,0.08912872942334579,2.0,104.02857142857142,52.0,0.014285714285714285
0.15342465753424658,demographic_sir_R0_comparison,0.6848502989470793,0.12596701155920326,0.1891826894937178,2.0,104.02857142857142,52.0,0.014285714285714285
0.1726027397260274,demographic_sir_R0_comparison,0.514730087255931,0.15332494689746848,0.331944965846601,2.0,104.02857142857142,52.0,0.014285714285714285
0.1917808219178082,demographic_sir_R0_comparison,0.3829920669103984,0.13722745984730642,0.47978047324229556,2.0,104.02857142857142,52.0,0.014285714285714285
0.21095890410958903,demographic_sir_R0_comparison,0.30225128101514687,0.09950244956552293,0.5982462694193305,2.0,104.02857142857142,52.0,0.014285714285714285
0.23013698630136986,demographic_sir_R0_comparison,0.2573563315379573,0.06383913844735736,0.6788045300146854,2.0,104.02857142857142,52.0,0.014285714285714285
0.2493150684931507,demographic_sir_R0_comparison,0.23303257108712533,0.03830333862183478,0.7286640902910401,2.0,104.02857142857142,52.0,0.014285714285714285
0.2684931506849315,demographic_sir_R0_comparison,0.2198910616970546,0.022164092205451735,0.7579448460974939,2.0,104.02857142857142,52.0,0.014285714285714285
0.2876712328767123,demographic_sir_R0_comparison,0.21279530889634715,0.012576551576348368,0.7746281395273046,2.0,104.02857142857142,52.0,0.014285714285714285
0.30684931506849317,demographic_sir_R0_comparison,0.2089890517161949,0.0070614348246169035,0.7839495134591882,2.0,104.02857142857142,52.0,0.014285714285714285
0.32602739726027397,demographic_sir_R0_comparison,0.20698491098311425,0.003942616926783291,0.7890724720901026,2.0,104.02857142857142,52.0,0.014285714285714285
0.3452054794520548,demographic_sir_R0_comparison,0.20597299209761458,0.0021948858720486847,0.7918321220303368,2.0,104.02857142857142,52.0,0.014285714285714285
0.3643835616438356,demographic_sir_R0_comparison,0.20550916695647967,0.0012201782473811713,0.7932706547961392,2.0,104.02857142857142,52.0,0.014285714285714285
0.3835616438356164,demographic_sir_R0_comparison,0.20534873250208135,0.0006779177937296718,0.793973349704189,2.0,104.02857142857142,52.0,0.014285714285714285
0.40273972602739727,demographic_sir_R0_comparison,0.20535645866588617,0.00037659257129478874,0.7942669487628189,2.0,104.02857142857142,52.0,0.014285714285714285
0.42191780821917807,demographic_sir_R0_comparison,0.20545747032346037,0.00020922689799354798,0.7943333027785459,2.0,104.02857142857142,52.0,0.014285714285714285
0.4410958904109589,demographic_sir_R0_comparison,0.2056102574549594,0.00011627207500966465,0.7942734704700308,2.0,104.02857142857142,52.0,0.014285714285714285
0.4602739726027397,demographic_sir_R0_comparison,0.20579178659010908,6.463673011825342e-05,0.7941435766797726,2.0,104.02857142857142,52.0,0.014285714285714285
0.4794520547945206,demographic_sir_R0_comparison,0.2059892678445058,3.594580415128014e-05,0.7939747863513429,2.0,104.02857142857142,52.0,0.014285714285714285
0.4986301369863014,demographic_sir_R0_comparison,0.20619559523483505,1.9998266145699067e-05,0.7937844064990194,2.0,104.02857142857142,52.0,0.014285714285714285
0.5178082191780822,demographic_sir_R0_comparison,0.206406818699578,1.1130574614472581e-05,0.7935820507258077,2.0,104.02857142857142,52.0,0.014285714285714285
0.536986301369863,demographic_sir_R0_comparison,0.20662074144246798,6.19765113308639e-06,0.7933730609063989,2.0,104.02857142857142,52.0,0.014285714285714285
0.5561643835616439,demographic_sir_R0_comparison,0.20683614117764587,3.452412846768095e-06,0.7931604064095074,2.0,104.02857142857142,52.0,0.014285714285714285
0.5753424657534246,demographic_sir_R0_comparison,0.20705233753198324,1.9240011861283513e-06,0.7929457384668307,2.0,104.02857142857142,52.0,0.014285714285714285
0.5945205479452055,demographic_sir_R0_comparison,0.20726895161947448,1.072693059274987e-06,0.7927299756874662,2.0,104.02857142857142,52.0,0.014285714285714285
0.6136986301369863,demographic_sir_R0_comparison,0.20748577235743693,5.983198220649148e-07,0.7925136293227409,2.0,104.02857142857142,52.0,0.014285714285714285
0.6328767123287671,demographic_sir_R0_comparison,0.2077026821009421,3.3387140137205415e-07,0.7922969840276565,2.0,104.02857142857142,52.0,0.014285714285714285
0.6520547945205479,demographic_sir_R0_comparison,0.20791961525652605,1.8638587781585744e-07,0.792080198357596,2.0,104.02857142857142,52.0,0.014285714285714285
0.6712328767123288,demographic_sir_R0_comparison,0.20813653523964026,1.0409616839093279e-07,0.7918633606641912,2.0,104.02857142857142,52.0,0.014285714285714285
0.6904109589041096,demographic_sir_R0_comparison,0.20835342163973994,5.816268154119938e-08,0.7916465201975783,2.0,104.02857142857142,52.0,0.014285714285714285
0.7095890410958904,demographic_sir_R0_comparison,0.20857026306803128,3.251187374575656e-08,0.7914297044200949,2.0,104.02857142857142,52.0,0.014285714285714285
0.7287671232876712,demographic_sir_R0_comparison,0.20878705317016047,1.8181404879263033e-08,0.7912129286484345,2.0,104.02857142857142,52.0,0.014285714285714285
0.7479452054794521,demographic_sir_R0_comparison,0.20900378840236924,1.0171867401200427e-08,0.7909962014257632,2.0,104.02857142857142,52.0,0.014285714285714285
0.7671232876712328,demographic_sir_R0_comparison,0.20922046679065548,5.6932690399507215e-09,0.7907795275160755,2.0,104.02857142857142,52.0,0.014285714285714285
0.7863013698630137,demographic_sir_R0_comparison,0.20943708723812376,3.1879422069572436e-09,0.7905629095739342,2.0,104.02857142857142,52.0,0.014285714285714285
0.8054794520547945,demographic_sir_R0_comparison,0.2096536491381752,1.7858576432991703e-09,0.7903463490759672,2.0,104.02857142857142,52.0,0.014285714285714285
0.8246575342465754,demographic_sir_R0_comparison,0.20987015215839985,1.0008542738577972e-09,0.7901298468407459,2.0,104.02857142857142,52.0,0.014285714285714285
0.8438356164383561,demographic_sir_R0_comparison,0.21008659611978828,5.611544639638995e-10,0.7899134033190574,2.0,104.02857142857142,52.0,0.014285714285714285
0.863013698630137,demographic_sir_R0_comparison,0.21030298092918953,3.147614285642694e-10,0.7896970187560491,2.0,104.02857142857142,52.0,0.014285714285714285
0.8821917808219178,demographic_sir_R0_comparison,0.21051930654152803,1.7663145795724093e-10,0.7894806932818406,2.0,104.02857142857142,52.0,0.014285714285714285
0.9013698630136986,demographic_sir_R0_comparison,0.2107355729386578,9.916125366346812e-11,0.7892644269621809,2.0,104.02857142857142,52.0,0.014285714285714285
0.9205479452054794,demographic_sir_R0_comparison,0.2109517801175232,5.569334740124951e-11,0.7890482198267833,2.0,104.02857142857142,52.0,0.014285714285714285
0.9397260273972603,demographic_sir_R0_comparison,0.21116792808352758,3.129334159120405e-11,0.7888320718851791,2.0,104.02857142857142,52.0,0.014285714285714285
0.9589041095890412,demographic_sir_R0_comparison,0.21138401684681712,1.7590890093745507e-11,0.7886159831355921,2.0,104.02857142857142,52.0,0.014285714285714285
0.9780821917808219,demographic_sir_R0_comparison,0.2116000464201975,9.89261012157885e-12,0.78839995356991,2.0,104.02857142857142,52.0,0.014285714285714285
0.9972602739726028,demographic_sir_R0_comparison,0.21181601681796558,5.565717053784498e-12,0.7881839831764686,2.0,104.02857142857142,52.0,0.014285714285714285
1.0164383561643835,demographic_sir_R0_comparison,0.2120319280552537,3.1326974695052007e-12,0.7879680719416134,2.0,104.02857142857142,52.0,0.014285714285714285
1.0356164383561643,demographic_sir_R0_comparison,0.2122477801476617,1.7640172934662466e-12,0.7877522198505742,2.0,104.02857142857142,52.0,0.014285714285714285
1.0547945205479452,demographic_sir_R0_comparison,0.21246357311105035,9.937433131899376e-13,0.7875364268879558,2.0,104.02857142857142,52.0,0.014285714285714285
1.073972602739726,demographic_sir_R0_comparison,0.21267930696142506,5.600574102676203e-13,0.7873206930380148,2.0,104.02857142857142,52.0,0.014285714285714285
1.093150684931507,demographic_sir_R0_comparison,0.21289498171487087,3.157750210559093e-13,0.7871050182848134,2.0,104.02857142857142,52.0,0.014285714285714285
1.1123287671232878,demographic_sir_R0_comparison,0.2131105973875156,1.7811883373326944e-13,0.7868894026123062,2.0,104.02857142857142,52.0,0.014285714285714285
1.1315068493150684,demographic_sir_R0_comparison,0.21332615399550914,1.0051449774787702e-13,0.7866738460043903,2.0,104.02857142857142,52.0,0.014285714285714285
1.1506849315068493,demographic_sir_R0_comparison,0.21354165155501217,5.6745877187245976e-14,0.786458348444931,2.0,104.02857142857142,52.0,0.014285714285714285
1.16986301369863,demographic_sir_R0_comparison,0.21375709008218907,3.204989509634047e-14,0.7862429099177787,2.0,104.02857142857142,52.0,0.014285714285714285
1.189041095890411,demographic_sir_R0_comparison,0.2139724695932046,1.8109462127049324e-14,0.786027530406777,2.0,104.02857142857142,52.0,0.014285714285714285
1.2082191780821918,demographic_sir_R0_comparison,0.21418779010422206,1.0236961734629413e-14,0.7858122098957673,2.0,104.02857142857142,52.0,0.014285714285714285
1.2273972602739727,demographic_sir_R0_comparison,0.2144030516314016,5.7892612288365235e-15,0.7855969483685922,2.0,104.02857142857142,52.0,0.014285714285714285
1.2465753424657535,demographic_sir_R0_comparison,0.21461825419089992,3.275380058864078e-15,0.7853817458090964,2.0,104.02857142857142,52.0,0.014285714285714285
1.2657534246575342,demographic_sir_R0_comparison,0.21483339779886962,1.853901648746359e-15,0.7851666022011281,2.0,104.02857142857142,52.0,0.014285714285714285
1.284931506849315,demographic_sir_R0_comparison,0.21504848247145927,1.0497794470937717e-15,0.7849515175285394,2.0,104.02857142857142,52.0,0.014285714285714285
1.3041095890410959,demographic_sir_R0_comparison,0.2152635082248131,5.946970371752784e-16,0.7847364917751861,2.0,104.02857142857142,52.0,0.014285714285714285
1.3232876712328767,demographic_sir_R0_comparison,0.21547847507507104,3.3703869674454946e-16,0.7845215249249284,2.0,104.02857142857142,52.0,0.014285714285714285
1.3424657534246576,demographic_sir_R0_comparison,0.21569338303836866,1.9109529339663193e-16,0.784306616961631,2.0,104.02857142857142,52.0,0.014285714285714285
1.3616438356164384,demographic_sir_R0_comparison,0.21590823213083715,1.0839428761117753e-16,0.7840917678691627,2.0,104.02857142857142,52.0,0.014285714285714285
1.3808219178082193,demographic_sir_R0_comparison,0.2161230223686032,6.151045365906362e-17,0.7838769776313966,2.0,104.02857142857142,52.0,0.014285714285714285
1.4,demographic_sir_R0_comparison,0.21633775376778927,3.4920266033566776e-17,0.7836622462322106,2.0,104.02857142857142,52.0,0.014285714285714285
1.4191780821917808,demographic_sir_R0_comparison,0.21655242634451327,1.9833172313134252e-17,0.7834475736554866,2.0,104.02857142857142,52.0,0.014285714285714285
1.4383561643835616,demographic_sir_R0_comparison,0.21676704011488873,1.126919265495684e-17,0.783232959885111,2.0,104.02857142857142,52.0,0.014285714285714285
1.4575342465753425,demographic_sir_R0_comparison,0.21698159509502482,6.405888099521423e-18,0.7830184049049749,2.0,104.02857142857142,52.0,0.014285714285714285
1.4767123287671233,demographic_sir_R0_comparison,0.21719609130102605,3.6429378956106835e-18,0.7828039086989734,2.0,104.02857142857142,52.0,0.014285714285714285
1.4958904109589042,demographic_sir_R0_comparison,0.21741052874899292,2.0725738352495023e-18,0.7825894712510064,2.0,104.02857142857142,52.0,0.014285714285714285
1.515068493150685,demographic_sir_R0_comparison,0.21762490745502128,1.1796523254325387e-18,0.7823750925449783,2.0,104.02857142857142,52.0,0.014285714285714285
1.5342465753424657,demographic_sir_R0_comparison,0.21783922743520256,6.717130216407245e-19,0.7821607725647967,2.0,104.02857142857142,52.0,0.014285714285714285
1.5534246575342465,demographic_sir_R0_comparison,0.2180534887056239,3.826477626323801e-19,0.7819465112943753,2.0,104.02857142857142,52.0,0.014285714285714285
