model,R0,beta0,gamma,mu,peak_i,t_peak,s_final,i_final,r_final,n_local_peaks,largest_local_peak,mass_error_max,min_state_value,max_mass_error,min_value,late_start,n_late_peaks,first_late_peak_time,first_late_peak_i,mean_late_peak_i,mean_late_peak_interval
demographic_sir_R0_comparison,2.0,104.02857142857142,52.0,0.014285714285714285,0.15352498148540358,0.17397260273972603,0.5485116598988352,9.720733160011414e-196,0.45148834010117356,1,0.15352498148540358,9.547918011776346e-15,0.0,9.547918011776346e-15,0.0,1.0,0,,,,
demographic_sir_R0_comparison,8.0,416.1142857142857,52.0,0.014285714285714285,0.6146767063705798,0.031506849315068496,0.1108944209188712,1.5470504442343653e-11,0.8891055790656516,4,0.6146767063705798,7.438494264988549e-15,0.0,7.438494264988549e-15,0.0,1.0,3,19.17945205479452,0.03287890767287684,0.01775410997695274,9.444520547945205
demographic_sir_R0_comparison,15.0,780.2142857142857,52.0,0.014285714285714285,0.7521708249212087,0.016438356164383564,0.06645045919245882,0.00011826989551541417,0.9334312709120245,12,0.7521708249212087,4.218847493575595e-15,0.0,4.218847493575595e-15,0.0,1.0,11,9.86986301369863,0.018934711064410813,0.0036709572273982446,2.9168493150684935
