alpha,pattern,regime_label,rule_reason,poincare_level_count,poincare_range,long_i_min,long_i_max,long_i_mean,long_i_range,relative_amplitude,n_peaks,mean_peak_interval,peak_height_cv,peak_interval_cv
0.0,near equilibrium / small oscillation,small oscillation,long-run absolute or relative infection amplitude is small,22,8.4037922331887e-06,0.00023910117998104344,0.00027642814042982137,0.00025643843243963835,3.7326960448777924e-05,0.14555915076248999,19,1.9491628614916285,0.022106673863426855,0.0007186927897987516
0.013333333333333334,near equilibrium / small oscillation,small oscillation,long-run absolute or relative infection amplitude is small,9,0.0003739040071818011,0.0001054199396133636,0.0004981874111970026,0.0002563822220913001,0.00039276747158363903,1.5319606343210914,30,2.0000000000000004,0.027711401795487228,0.00036611129029136166
0.02666666666666667,near equilibrium / small oscillation,small oscillation,long-run absolute or relative infection amplitude is small,3,0.0005022511437535645,5.519848294619706e-05,0.0008804267303111877,0.0002563333630495735,0.0008252282473649907,3.219355598301092,30,1.9999999999999998,0.004140395640950566,0.0006341233560073181
0.04,near equilibrium / small oscillation,small oscillation,long-run absolute or relative infection amplitude is small,14,0.0005455241852247912,2.3466224948372746e-05,0.0011914157570770728,0.00025607654369144494,0.0011679495321287,4.560939144570777,30,2.001700519603212,0.040715840533271694,0.008682759127719283
0.05333333333333334,near equilibrium / small oscillation,small oscillation,long-run absolute or relative infection amplitude is small,9,0.0004426008570329407,2.98077077921862e-05,0.0012278279836642379,0.000256415492650774,0.0011980202758720517,4.672183663659122,30,2.000377893245158,0.009286499364581416,0.002307056932157676
0.06666666666666667,near equilibrium / small oscillation,small oscillation,long-run absolute or relative infection amplitude is small,22,0.0007548761748909922,8.92890091105679e-06,0.0015041466134397697,0.0002551889977202424,0.001495217712528713,5.859256182227277,35,1.7043513295729251,0.3759083472105646,0.28347144571335253
0.08,near equilibrium / small oscillation,small oscillation,long-run absolute or relative infection amplitude is small,21,0.0009108557381531186,4.547791393635161e-06,0.0017460022762402227,0.0002561838187339726,0.0017414544848465875,6.797675565352375,43,1.40808871493803,0.5815980970139365,0.4021161944186886
0.09333333333333334,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,15,0.0034443107727101874,1.3625980810568493e-10,0.004116705898548569,0.0002546215754685441,0.004116705762288761,16.167937672655466,20,2.9776496034607067,0.4171497400688691,0.24143778211827094
0.10666666666666667,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,14,0.0034061052444075528,3.803650185899539e-11,0.0037923551020243346,0.0002575147540869766,0.0037923550639878327,14.726748676726112,27,2.2177028451001055,0.6309625764919913,0.509846071768529
0.12000000000000001,irregular or complex oscillation,irregular / complex,"peak intervals do not match a stable annual, biennial, or multi-year rule",15,0.005918307495319623,1.995214766392347e-14,0.006671388110501865,0.0002587337507284881,0.006671388110481913,25.7847617162354,18,3.3716357775987107,0.4855355720538193,0.301545160675634
0.13333333333333333,irregular or complex oscillation,irregular / complex,"peak intervals do not match a stable annual, biennial, or multi-year rule",12,0.005681966815651962,2.725938671597362e-15,0.007136145852023167,0.00025152491728275034,0.007136145852020441,28.371526483789207,16,3.6166210045662104,0.4586677676316222,0.31553810480225414
0.14666666666666667,irregular or complex oscillation,irregular / complex,"peak intervals do not match a stable annual, biennial, or multi-year rule",8,0.008242432361794606,5.132098260465001e-19,0.009432546474553908,0.00025058235242339386,0.009432546474553908,37.64250109128317,15,3.788062622309197,0.45908324775202536,0.33667538393730284
0.16,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,10,0.008917300729041247,3.561775898238468e-20,0.01028919821303106,0.0002501424011123031,0.01028919821303106,41.13336310548828,13,4.418721461187214,0.3352893285454978,0.21462454900106903
0.17333333333333334,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,11,0.005002745936291692,1.3986027933603163e-15,0.005976685783524686,0.0002549258666615006,0.005976685783523288,23.444799312810957,23,2.556164383561644,0.6514161765209984,0.5988606764643524
0.18666666666666668,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,7,0.009910245250413372,1.2690491794546143e-21,0.011185735585443748,0.00024336537305648596,0.011185735585443748,45.96272446223276,13,4.30593607305936,0.4063774236123384,0.1801504376405234
0.2,irregular or complex oscillation,irregular / complex,"peak intervals do not match a stable annual, biennial, or multi-year rule",10,0.012086568745409977,7.980035245139678e-25,0.014214594228966064,0.0002452258862795686,0.014214594228966064,57.96530882045944,12,4.780074719800748,0.5094577722106389,0.329081609868734
0.21333333333333335,irregular or complex oscillation,irregular / complex,"peak intervals do not match a stable annual, biennial, or multi-year rule",9,0.012906157204010256,3.17515109709483e-25,0.014747446196835726,0.00026119017894097875,0.014747446196835726,56.46248360727304,13,4.731963470319635,0.4785513429201855,0.326106311503995
0.22666666666666668,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,9,0.014339503372696493,2.9385649175655435e-26,0.015233528254407715,0.0002515302735615827,0.015233528254407715,60.563398746028305,15,3.8657534246575347,0.7455219955772315,0.5582354195412939
0.24000000000000002,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,9,0.006825871921646156,5.1337347177107634e-26,0.014195886565151632,0.00026529664706421123,0.014195886565151632,53.50948352436479,12,5.092901618929016,0.4752063521445284,0.17477966541147588
0.25333333333333335,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,8,0.013046757535519482,1.2823109092058643e-25,0.015801329342676675,0.00025502532091803464,0.015801329342676675,61.959844951063644,13,4.492237442922375,0.5535250969068283,0.42198863032027895
0.26666666666666666,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,8,0.013478109424536082,7.747864963493043e-28,0.016216533535268803,0.0002679836026939654,0.016216533535268803,60.51315592539415,12,5.364881693648818,0.34504538852952843,0.1970940898003323
0.28,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,7,0.01899768148899237,8.149318364862666e-32,0.020364036061228868,0.0002392640021952318,0.020364036061228868,85.11115702483511,8,6.987866927592955,0.0335197019044423,0.015567751627890562
0.29333333333333333,irregular or complex oscillation,irregular / complex,"peak intervals do not match a stable annual, biennial, or multi-year rule",5,0.013987266586108434,1.7573154234077483e-27,0.014157317744739675,0.00025275942382809396,0.014157317744739675,56.011038205120734,13,4.466210045662101,0.48846297242539344,0.3641781871958032
0.3066666666666667,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,7,0.020072636789122942,1.0470425419569329e-32,0.020762262984461575,0.0002705525591253577,0.020762262984461575,76.74022027949697,10,6.239878234398783,0.31735012288035724,0.12269417449620383
0.32,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,8,0.021438352095884506,8.396057207702077e-34,0.021438352095884506,0.0002451136522253304,0.021438352095884506,87.46290506975292,9,6.372260273972602,0.2977457933984846,0.15509925233114893
0.33333333333333337,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,5,0.011201592586012818,2.2356533113002097e-28,0.016257695627164743,0.0002499908234157047,0.016257695627164743,65.03316963811166,11,5.217260273972602,0.20774905443049332,0.2083915518262965
0.3466666666666667,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,8,0.003861835346504428,3.269901723217761e-34,0.022463848698060267,0.0002759386692732996,0.022463848698060267,81.40884623826052,15,4.192759295499021,0.7121039562360488,0.5874122062111002
0.36000000000000004,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,5,0.012719575648787059,1.4777236113597002e-35,0.02293561630726534,0.00027492729432481154,0.02293561630726534,83.42429718952592,12,5.447820672478207,0.5784251732384112,0.4690968274594871
