t,s,i,r,N,I0,alpha,phase,R0_basic
0.0,0.998,0.002,0.0,10000,20,0.0,0.0,8.0
0.0013698630136986301,0.996527691419043,0.0032878103152326633,0.00018449826572436914,10000,20,0.0,0.0,8.0
0.0027397260273972603,0.9941133774169226,0.005398993078443717,0.0004876295046335993,10000,20,0.0,0.0,8.0
0.004109589041095891,0.9901649387902369,0.00885009380446319,0.0009849674052998798,10000,20,0.0,0.0,8.0
0.005479452054794521,0.9837357484642887,0.014465215556203937,0.00179903597950737,10000,20,0.0,0.0,8.0
0.00684931506849315,0.9733414012182219,0.023532095427822506,0.0031265033539555767,10000,20,0.0,0.0,8.0
0.008219178082191782,0.9567281053307474,0.037993957453595587,0.0052779372156569705,10000,20,0.0,0.0,8.0
0.009589041095890411,0.9306554809835467,0.06061361353875621,0.00873090547769702,10000,20,0.0,0.0,8.0
0.010958904109589041,0.8908859647090867,0.09492519634593702,0.014188838944976261,10000,20,0.0,0.0,8.0
0.012328767123287671,0.8327773751607761,0.14460417027174902,0.022618454567474806,10000,20,0.0,0.0,8.0
0.0136986301369863,0.7529752664178453,0.2118169025249604,0.03520783105719425,10000,20,0.0,0.0,8.0
0.015068493150684932,0.6521706662356277,0.2946593545188771,0.053169979245495214,10000,20,0.0,0.0,8.0
0.016438356164383564,0.5373391781321436,0.3852867979330023,0.07737402393485407,10000,20,0.0,0.0,8.0
0.01780821917808219,0.4207251553566282,0.4713270058307061,0.10794783881266568,10000,20,0.0,0.0,8.0
0.019178082191780823,0.3149876848106654,0.5408910961606226,0.14412121902871194,10000,20,0.0,0.0,8.0
0.02054794520547945,0.22812196657677025,0.5874298287913301,0.18444820463189956,10000,20,0.0,0.0,8.0
0.021917808219178082,0.16197977315696882,0.6107708751848645,0.22724935165816657,10000,20,0.0,0.0,8.0
0.023287671232876714,0.11415281340510025,0.6148504286344418,0.2709967579604578,10000,20,0.0,0.0,8.0
0.024657534246575342,0.08060731532863102,0.6048897074027099,0.31450297726865906,10000,20,0.0,0.0,8.0
