experiment,replicate,N,I0,R0_basic,S0,R_init,alpha,phase,phase_label,t_max,outbreak_threshold,outbreak_threshold_count,extinct,extinction_time,early_fadeout,major_outbreak,establishment_time,t_final,final_S,final_I,final_R,peak_I,peak_i,t_peak,n_events
seasonal_near_threshold_alpha,26,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.5929432058303198,True,False,,0.5929432058303198,1029,0,8971,49,0.0049,0.3067726306028328,1151
seasonal_near_threshold_alpha,27,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.155055480020528,True,False,,0.155055480020528,1490,0,8510,7,0.0007,0.0018083838371234554,73
seasonal_near_threshold_alpha,28,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.011964452408596303,True,False,,0.011964452408596303,1502,0,8498,5,0.0005,0.0,10
seasonal_near_threshold_alpha,29,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.030435156563653427,True,False,,0.030435156563653427,1503,0,8497,5,0.0005,0.0,17
seasonal_near_threshold_alpha,30,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.20622461660051924,0.20622461660051924,1308,50,8642,50,0.005,0.20622461660051924,390
seasonal_near_threshold_alpha,31,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.5442615674044868,True,False,,0.5442615674044868,1129,0,8871,40,0.004,0.23731261161922532,933
seasonal_near_threshold_alpha,32,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.5017272032255456,True,False,,0.5017272032255456,1126,0,8874,42,0.0042,0.28626238827331674,921
seasonal_near_threshold_alpha,33,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.10067652983505991,0.10067652983505991,1356,50,8594,50,0.005,0.10067652983505991,276
seasonal_near_threshold_alpha,34,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.008922330722002287,True,False,,0.008922330722002287,1499,0,8501,6,0.0006,0.0004638152942432445,7
seasonal_near_threshold_alpha,35,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.047833245460336155,True,False,,0.047833245460336155,1494,0,8506,7,0.0007,0.010237367304288168,32
seasonal_near_threshold_alpha,36,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.17963748827681175,True,False,,0.17963748827681175,1468,0,8532,14,0.0014,0.11694099619506153,144
seasonal_near_threshold_alpha,37,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.044572521086926935,True,False,,0.044572521086926935,1499,0,8501,7,0.0007,0.004935939648313954,34
seasonal_near_threshold_alpha,38,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.0889484332346314,True,False,,0.0889484332346314,1497,0,8503,8,0.0008,0.008262701253159546,53
seasonal_near_threshold_alpha,39,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.14590697597123767,0.14590697597123767,1336,50,8614,50,0.005,0.14590697597123767,340
seasonal_near_threshold_alpha,40,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.47179733656805917,True,False,,0.47179733656805917,1216,0,8784,36,0.0036,0.1745460219362468,798
seasonal_near_threshold_alpha,41,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.5389213964468821,True,False,,0.5389213964468821,1175,0,8825,28,0.0028,0.4093092509625246,874
seasonal_near_threshold_alpha,42,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.017370428029789352,True,False,,0.017370428029789352,1500,0,8500,5,0.0005,0.0,5
seasonal_near_threshold_alpha,43,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.14076938780553994,0.14076938780553994,1303,50,8647,50,0.005,0.14076938780553994,382
seasonal_near_threshold_alpha,44,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.08260884823328053,True,False,,0.08260884823328053,1491,0,8509,9,0.0009,0.01601557158494327,50
seasonal_near_threshold_alpha,45,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.6572805413067289,True,False,,0.6572805413067289,1110,0,8890,37,0.0037,0.09488899285936973,1034
seasonal_near_threshold_alpha,46,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.09390676472145203,0.09390676472145203,1372,50,8578,50,0.005,0.09390676472145203,262
seasonal_near_threshold_alpha,47,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.28705312816935585,True,False,,0.28705312816935585,1301,0,8699,40,0.004,0.07641691663667283,547
seasonal_near_threshold_alpha,48,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.5043324199044799,True,False,,0.5043324199044799,1160,0,8840,35,0.0035,0.12130130575719665,868
seasonal_near_threshold_alpha,49,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.04147343041199364,True,False,,0.04147343041199364,1500,0,8500,5,0.0005,0.0,8
seasonal_near_threshold_alpha,50,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.12134090339732549,0.12134090339732549,1364,50,8586,50,0.005,0.12134090339732549,275
seasonal_near_threshold_alpha,51,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.24986103410748264,0.24986103410748264,1115,50,8835,50,0.005,0.24986103410748264,833
seasonal_near_threshold_alpha,52,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.1211641628626088,True,False,,0.1211641628626088,1482,0,8518,7,0.0007,0.020875042557528763,83
seasonal_near_threshold_alpha,53,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.7749126087009849,True,False,,0.7749126087009849,1121,0,8879,35,0.0035,0.30942339503515154,1099
seasonal_near_threshold_alpha,54,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.3326966212097433,True,False,,0.3326966212097433,1239,0,8761,48,0.0048,0.15140184625185343,674
seasonal_near_threshold_alpha,55,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.08137781860732027,0.08137781860732027,1402,50,8548,50,0.005,0.08137781860732027,178
seasonal_near_threshold_alpha,56,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.05925433728691982,True,False,,0.05925433728691982,1495,0,8505,9,0.0009,0.008379894449675011,33
seasonal_near_threshold_alpha,57,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.38704554338190716,0.38704554338190716,1156,50,8794,50,0.005,0.38704554338190716,781
seasonal_near_threshold_alpha,58,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.03701893254324767,True,False,,0.03701893254324767,1501,0,8499,7,0.0007,0.015019948869898006,18
seasonal_near_threshold_alpha,59,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.034181823146040215,True,False,,0.034181823146040215,1501,0,8499,5,0.0005,0.0,18
seasonal_near_threshold_alpha,60,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.09506196575953232,True,False,,0.09506196575953232,1493,0,8507,7,0.0007,0.02252036804807472,52
seasonal_near_threshold_alpha,61,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.17635025099955456,True,False,,0.17635025099955456,1451,0,8549,14,0.0014,0.09705143984019014,163
seasonal_near_threshold_alpha,62,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.5507292359888039,True,False,,0.5507292359888039,1134,0,8866,44,0.0044,0.30320820604110543,950
seasonal_near_threshold_alpha,63,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.02098038908671434,True,False,,0.02098038908671434,1502,0,8498,5,0.0005,0.0,10
seasonal_near_threshold_alpha,64,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.4278136424089687,True,False,,0.4278136424089687,1322,0,8678,30,0.003,0.2577717792767875,511
seasonal_near_threshold_alpha,65,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.15252429260853123,True,False,,0.15252429260853123,1489,0,8511,7,0.0007,0.001975876699770644,57
seasonal_near_threshold_alpha,66,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.14400672507563855,True,False,,0.14400672507563855,1497,0,8503,7,0.0007,0.04857736227315518,68
seasonal_near_threshold_alpha,67,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.559032059209055,True,False,,0.559032059209055,991,0,9009,49,0.0049,0.2782225198727945,1242
seasonal_near_threshold_alpha,68,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.503796066414461,True,False,,0.503796066414461,1255,0,8745,27,0.0027,0.3057615810379658,696
seasonal_near_threshold_alpha,69,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.0913086002452616,True,False,,0.0913086002452616,1493,0,8507,9,0.0009,0.01658397154490866,52
seasonal_near_threshold_alpha,70,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.5689514621667622,True,False,,0.5689514621667622,1029,0,8971,42,0.0042,0.09820237873089603,1196
seasonal_near_threshold_alpha,71,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.10355539741788798,0.10355539741788798,1397,50,8553,50,0.005,0.10355539741788798,182
seasonal_near_threshold_alpha,72,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.8173254264126195,True,False,,0.8173254264126195,1149,0,8851,38,0.0038,0.38604186966393256,1034
seasonal_near_threshold_alpha,73,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,1.3030622865224906,True,False,,1.3030622865224906,1092,0,8908,25,0.0025,0.8703276030134276,1322
seasonal_near_threshold_alpha,74,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.08195510081881817,True,False,,0.08195510081881817,1489,0,8511,9,0.0009,0.00593237427463947,57
seasonal_near_threshold_alpha,75,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.5478799398859221,0.5478799398859221,1141,50,8809,50,0.005,0.5478799398859221,898
seasonal_near_threshold_alpha,76,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.14469491975117396,0.14469491975117396,1387,50,8563,50,0.005,0.14469491975117396,238
seasonal_near_threshold_alpha,77,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.07891656488776275,True,False,,0.07891656488776275,1501,0,8499,10,0.001,0.024305142393831573,57
seasonal_near_threshold_alpha,78,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.5747063212637891,True,False,,0.5747063212637891,1077,0,8923,44,0.0044,0.08481419394552556,1094
seasonal_near_threshold_alpha,79,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.1661079402930679,True,False,,0.1661079402930679,1461,0,8539,12,0.0012,0.11214772402339147,134
seasonal_near_threshold_alpha,80,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.10154667387928391,0.10154667387928391,1363,50,8587,50,0.005,0.10154667387928391,265
seasonal_near_threshold_alpha,81,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.2832832668422751,True,False,,0.2832832668422751,1442,0,8558,16,0.0016,0.028776608964681046,196
seasonal_near_threshold_alpha,82,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.04020210274892993,True,False,,0.04020210274892993,1497,0,8503,7,0.0007,0.004432096910782852,26
seasonal_near_threshold_alpha,83,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.12030346164092438,0.12030346164092438,1345,50,8605,50,0.005,0.12030346164092438,316
seasonal_near_threshold_alpha,84,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.3026846218562084,0.3026846218562084,1174,50,8776,50,0.005,0.3026846218562084,730
seasonal_near_threshold_alpha,85,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.1171755545762316,0.1171755545762316,1355,50,8595,50,0.005,0.1171755545762316,290
seasonal_near_threshold_alpha,86,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.049077238690608455,True,False,,0.049077238690608455,1503,0,8497,6,0.0006,0.002154914634822264,17
seasonal_near_threshold_alpha,87,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.07701981418969897,True,False,,0.07701981418969897,1490,0,8510,8,0.0008,0.006507196227978736,58
seasonal_near_threshold_alpha,88,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.08506944958615272,True,False,,0.08506944958615272,1502,0,8498,5,0.0005,0.0,37
seasonal_near_threshold_alpha,89,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.1620578889062702,0.1620578889062702,1215,50,8735,50,0.005,0.1620578889062702,573
seasonal_near_threshold_alpha,90,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.8684262370636265,True,False,,0.8684262370636265,864,0,9136,40,0.004,0.2630793487125409,1619
seasonal_near_threshold_alpha,91,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.6568753269135583,True,False,,0.6568753269135583,1103,0,8897,48,0.0048,0.3065151404416784,1027
seasonal_near_threshold_alpha,92,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.41795232441629904,True,False,,0.41795232441629904,1344,0,8656,22,0.0022,0.10645896504144768,467
seasonal_near_threshold_alpha,93,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.1437319512300238,0.1437319512300238,1378,50,8572,50,0.005,0.1437319512300238,259
seasonal_near_threshold_alpha,94,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.22984539155786496,0.22984539155786496,1276,50,8674,50,0.005,0.22984539155786496,487
seasonal_near_threshold_alpha,95,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.1763376957279348,0.1763376957279348,1319,50,8631,50,0.005,0.1763376957279348,371
seasonal_near_threshold_alpha,96,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.09646466254871994,True,False,,0.09646466254871994,1486,0,8514,10,0.001,0.0364983000983163,69
seasonal_near_threshold_alpha,97,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.613954705433028,True,False,,0.613954705433028,1140,0,8860,48,0.0048,0.23097292833369193,1006
seasonal_near_threshold_alpha,98,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.1381380245920181,0.1381380245920181,1325,50,8625,50,0.005,0.1381380245920181,350
seasonal_near_threshold_alpha,99,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.08958248903556766,0.08958248903556766,1358,50,8592,50,0.005,0.08958248903556766,263
seasonal_near_threshold_alpha,100,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.1158487021017226,True,False,,0.1158487021017226,1464,0,8536,14,0.0014,0.043303868107912535,104
seasonal_near_threshold_alpha,1,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,False,,False,True,0.046230807832596005,0.046230807832596005,1404,50,8546,50,0.005,0.046230807832596005,164
seasonal_near_threshold_alpha,2,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.36380450973636724,True,False,,0.36380450973636724,1389,0,8611,20,0.002,0.22844041978199475,344
seasonal_near_threshold_alpha,3,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,False,,False,True,0.11900798483103567,0.11900798483103567,1307,50,8643,50,0.005,0.11900798483103567,368
seasonal_near_threshold_alpha,4,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.1582842117992376,True,False,,0.1582842117992376,1499,0,8501,10,0.001,0.004212640938391778,70
seasonal_near_threshold_alpha,5,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,False,,False,True,0.21934881121507013,0.21934881121507013,1266,50,8684,50,0.005,0.21934881121507013,501
seasonal_near_threshold_alpha,6,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.046760792494190496,True,False,,0.046760792494190496,1501,0,8499,9,0.0009,0.024566855388754437,39
seasonal_near_threshold_alpha,7,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.41397736424401915,True,False,,0.41397736424401915,1191,0,8809,37,0.0037,0.11610301426030505,734
seasonal_near_threshold_alpha,8,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.9389296381718164,True,False,,0.9389296381718164,1067,0,8933,36,0.0036,0.7279608201179735,1204
seasonal_near_threshold_alpha,9,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.5074822291505541,True,False,,0.5074822291505541,1179,0,8821,39,0.0039,0.213676850613286,836
seasonal_near_threshold_alpha,10,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.2692396178418844,True,False,,0.2692396178418844,1470,0,8530,14,0.0014,0.1484053612717388,182
seasonal_near_threshold_alpha,11,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,False,,False,True,0.2324264493152175,0.2324264493152175,1167,50,8783,50,0.005,0.2324264493152175,708
seasonal_near_threshold_alpha,12,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,False,,False,True,0.1407486012382255,0.1407486012382255,1279,50,8671,50,0.005,0.1407486012382255,442
seasonal_near_threshold_alpha,13,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.08010632857892995,True,False,,0.08010632857892995,1504,0,8496,5,0.0005,0.0,24
seasonal_near_threshold_alpha,14,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.23940745946791467,True,False,,0.23940745946791467,1464,0,8536,14,0.0014,0.09601340274432088,152
seasonal_near_threshold_alpha,15,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.4606151842055033,True,False,,0.4606151842055033,1093,0,8907,44,0.0044,0.23399276711244787,981
seasonal_near_threshold_alpha,16,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.02641294654881125,True,False,,0.02641294654881125,1501,0,8499,6,0.0006,0.001600122267707168,12
seasonal_near_threshold_alpha,17,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.43378157616696905,True,False,,0.43378157616696905,1053,0,8947,46,0.0046,0.20613730071073008,1037
seasonal_near_threshold_alpha,18,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,False,,False,True,0.13615608913880098,0.13615608913880098,1379,50,8571,50,0.005,0.13615608913880098,254
seasonal_near_threshold_alpha,19,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,False,,False,True,0.12351980265728309,0.12351980265728309,1337,50,8613,50,0.005,0.12351980265728309,347
seasonal_near_threshold_alpha,20,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.09597497044641508,True,False,,0.09597497044641508,1475,0,8525,11,0.0011,0.05687993578897405,76
seasonal_near_threshold_alpha,21,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.36596280174788665,True,False,,0.36596280174788665,1188,0,8812,47,0.0047,0.10012719248548017,758
seasonal_near_threshold_alpha,22,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,False,,False,True,0.08024994069646148,0.08024994069646148,1376,50,8574,50,0.005,0.08024994069646148,224
seasonal_near_threshold_alpha,23,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,False,,False,True,0.1184545216075008,0.1184545216075008,1320,50,8630,50,0.005,0.1184545216075008,363
seasonal_near_threshold_alpha,24,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,False,,False,True,0.1886715587505205,0.1886715587505205,1234,50,8716,50,0.005,0.1886715587505205,538
seasonal_near_threshold_alpha,25,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.19602949026668426,True,False,,0.19602949026668426,1507,0,8493,6,0.0006,0.009003036245343432,50
seasonal_near_threshold_alpha,26,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.19843666524707249,True,False,,0.19843666524707249,1469,0,8531,13,0.0013,0.09679994471548227,169
seasonal_near_threshold_alpha,27,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.04327372452826106,True,False,,0.04327372452826106,1503,0,8497,5,0.0005,0.0,23
seasonal_near_threshold_alpha,28,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,False,,False,True,0.20201767799641834,0.20201767799641834,1308,50,8642,50,0.005,0.20201767799641834,411
seasonal_near_threshold_alpha,29,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.07000636993929452,True,False,,0.07000636993929452,1492,0,8508,9,0.0009,0.03505347646819705,45
seasonal_near_threshold_alpha,30,10000,5,8.0,1500,8495,0.1,0.0,phase 0,2.0,0.005,50,True,0.7244510475462618,True,False,,0.7244510475462618,1106,0,8894,39,0.0039,0.33833169429308513,1045
