alpha,n_peaks,mean_peak_i,max_peak_i,mean_peak_interval,std_peak_interval,peak_height_cv,peak_interval_cv
0.0,19,0.00026178273419600944,0.00027642814042982137,1.9491628614916285,0.0014008492946975361,0.022106673863426855,0.0007186927897987516
0.013333333333333334,30,0.00047333238481245266,0.0004981874111970026,2.0000000000000004,0.0007322225805827234,0.027711401795487228,0.00036611129029136166
0.02666666666666667,30,0.0008741366707750379,0.0008804267303111877,1.9999999999999998,0.001268246712014636,0.004140395640950566,0.0006341233560073181
0.04,30,0.0010520256075295653,0.0011914157570770728,2.001700519603212,0.01738028345754522,0.040715840533271694,0.008682759127719283
0.05333333333333334,30,0.0011956633375685137,0.0012278279836642379,2.000377893245158,0.00461498568554621,0.009286499364581416,0.002307056932157676
0.06666666666666667,35,0.0010696798454385742,0.0015041466134397697,1.7043513295729251,0.4831349353975116,0.3759083472105646,0.28347144571335253
0.08,43,0.0009199613327760338,0.0017460022762402227,1.40808871493803,0.5662152754547822,0.5815980970139365,0.4021161944186886
0.09333333333333334,20,0.0022578973681116484,0.004116705898548569,2.9776496034607067,0.718917116184902,0.4171497400688691,0.24143778211827094
0.10666666666666667,27,0.001781672122362375,0.0037923551020243346,2.2177028451001055,1.1306870839241794,0.6309625764919913,0.509846071768529
0.12000000000000001,18,0.0037647436953443247,0.006671388110501865,3.3716357775987107,1.0167004522957195,0.4855355720538193,0.301545160675634
0.13333333333333333,16,0.004460361501782447,0.007136145852023167,3.6166210045662104,1.1411817375688464,0.4586677676316222,0.31553810480225414
0.14666666666666667,15,0.005518645423138683,0.009432546474553908,3.788062622309197,1.275347437744495,0.45908324775202536,0.33667538393730284
0.16,13,0.006862861546595752,0.01028919821303106,4.418721461187214,0.9483661007686506,0.3352893285454978,0.21462454900106903
0.17333333333333334,23,0.002943003851821019,0.005976685783524686,2.556164383561644,1.5307863318938104,0.6514161765209984,0.5988606764643524
0.18666666666666668,13,0.006345089666988731,0.011185735585443748,4.30593607305936,0.7757162680137606,0.4063774236123384,0.1801504376405234
0.2,12,0.008831524892139784,0.014214594228966064,4.780074719800748,1.573034684084868,0.5094577722106389,0.329081609868734
0.21333333333333335,13,0.008085602043963065,0.014747446196835726,4.731963470319635,1.5431231534775802,0.4785513429201855,0.326106311503995
0.22666666666666668,15,0.005894400467135044,0.015233528254407715,3.8657534246575347,2.1580004848568923,0.7455219955772315,0.5582354195412939
0.24000000000000002,12,0.008234769998611216,0.014195886565151632,5.092901618929016,0.8901356409299772,0.4752063521445284,0.17477966541147588
0.25333333333333335,13,0.008559354280007451,0.015801329342676675,4.492237442922375,1.8956731256122852,0.5535250969068283,0.42198863032027895
0.26666666666666666,12,0.010370372481630244,0.016216533535268803,5.364881693648818,1.057386474296179,0.34504538852952843,0.1970940898003323
0.28,8,0.019527550852702313,0.020364036061228868,6.987866927592955,0.10878537673751784,0.0335197019044423,0.015567751627890562
0.29333333333333333,13,0.008241965508341291,0.014157317744739675,4.466210045662101,1.6264962780649093,0.48846297242539344,0.3641781871958032
0.3066666666666667,10,0.014869664851685371,0.020762262984461575,6.239878234398783,0.7655967089263885,0.31735012288035724,0.12269417449620383
0.32,9,0.015628538057968405,0.021438352095884506,6.372260273972602,0.9883328041526328,0.2977457933984846,0.15509925233114893
0.33333333333333337,11,0.011895084954004804,0.016257695627164743,5.217260273972602,1.0872329647748395,0.20774905443049332,0.2083915518262965
0.3466666666666667,15,0.008951480323600314,0.022463848698060267,4.192759295499021,2.4628779878811784,0.7121039562360488,0.5874122062111002
0.36000000000000004,12,0.012914208407389991,0.02293561630726534,5.447820672478207,2.5555553940277362,0.5784251732384112,0.4690968274594871
0.37333333333333335,11,0.012841570507215572,0.023354224372367626,5.596712328767124,2.7256132097788393,0.5927800280172939,0.48700255608443127
0.3866666666666667,12,0.011667395384216161,0.023013891220952102,4.90958904109589,2.5722283707941074,0.6525418396005263,0.5239192831137552
0.4,14,0.009973253205982477,0.023334331395329335,4.295679662802951,2.6262631911771352,0.7352278482177795,0.6113731463540943
0.4133333333333334,12,0.010697514335453233,0.02311404930315288,4.5417185554171855,3.2554923127539173,0.7767572530123673,0.7167974574009859
0.4266666666666667,13,0.011679583480100026,0.022920702841013996,4.682876712328768,2.798213106276388,0.6307048464330308,0.5975414853244883
0.44,8,0.02840207850637345,0.02864826632048809,8.007827788649706,0.0673034312048864,0.007836973191332978,0.00840470511869427
0.45333333333333337,8,0.027985175970096515,0.0294778838309256,8.003913894324855,0.11061005133441118,0.04589406597991608,0.013819495411218607
0.4666666666666667,12,0.014362711046547802,0.024535062699844054,5.32054794520548,2.683993685808647,0.5129596731183815,0.5044581335325211
0.48000000000000004,9,0.021883692597321446,0.03000691372305379,6.487328767123287,2.583693184482987,0.44560228478695124,0.39826765025024136
0.49333333333333335,9,0.02405929921067095,0.03028819132404018,7.251712328767124,0.49646729373115467,0.12025081269816433,0.06846207781322179
0.5066666666666667,8,0.028475687811417044,0.030247253009721458,7.985127201565558,0.14674685602063567,0.05968167060949489,0.018377522651344187
0.52,8,0.024535302520237112,0.031431403579372956,7.7048923679060675,0.8906858926236229,0.1721678050329171,0.1156000434650694
0.5333333333333333,8,0.02705809071192009,0.030898009202987114,7.681409001956948,0.5511270954489493,0.11624197351399969,0.07174817736023975
0.5466666666666667,10,0.017509876659354263,0.03238929984664489,5.661796042617961,2.9509790847869275,0.6127162967402265,0.5212090055123961
0.56,10,0.018810405809217636,0.03153050112973438,6.205479452054795,2.643498452487821,0.5223134836534783,0.4259942318578608
0.5733333333333334,11,0.015209178166665172,0.032014144803557174,4.977808219178082,2.9846222780123073,0.6694950394714237,0.5995856301802477
0.5866666666666667,12,0.014533342060702004,0.03286772889412601,4.784059775840597,3.374573791272657,0.6932116114788996,0.7053786845043586
0.6000000000000001,9,0.019332776260252905,0.03292715523251748,5.736986301369862,3.421451023331854,0.5930797207590002,0.5963847294728399
0.6133333333333334,8,0.02792909951647158,0.034402764455945894,7.86614481409002,1.4283123374412423,0.23790712928906085,0.1815771729606117
0.6266666666666667,12,0.014607843727572475,0.03387054525363227,4.891656288916564,2.96308339138334,0.7572340093146666,0.6057423531773986
0.64,9,0.027654952185105487,0.034645219250040486,7.364726027397261,2.768941077180773,0.37019092888985533,0.37597339899408777
0.6533333333333333,8,0.027287049293235638,0.03440679387981219,7.2590998043052855,2.954700996287753,0.38865541064558556,0.4070340780457868
0.6666666666666667,10,0.01843132811784275,0.036818092626246926,5.450532724505328,3.03516950344441,0.6436575901887586,0.5568574040108845
0.68,7,0.03954909421068929,0.03959630875489762,9.0,0.0,0.0008132932056304604,0.0
0.6933333333333334,7,0.04025007284097915,0.04025013897300701,8.999999999999998,2.9724135207732003e-15,3.1668495892257645e-06,3.302681689748001e-16
0.7066666666666667,7,0.04068991900120785,0.04068993644879094,9.0,0.0,7.202506620223422e-07,0.0
0.7200000000000001,7,0.04101229716049789,0.041012682421908794,9.0,0.0,4.153911560625993e-06,0.0
0.7333333333333334,7,0.041290993204494156,0.04129169641561914,9.000000000000002,5.837704266708593e-15,7.5316915936060586e-06,6.486338074120658e-16
0.7466666666666667,7,0.04155145586600219,0.04155192728554358,9.0,0.0,5.076968033903833e-06,0.0
0.76,7,0.04177723777652044,0.04178959869872253,9.0,0.0,0.00015388901898615191,0.0
0.7733333333333334,7,0.04199288717193077,0.042005166328308745,9.0,0.0,0.0004557123209321666,0.0
0.7866666666666667,7,0.04216772141286017,0.042225897206331464,9.000456621004567,0.0020623908293420285,0.0008363632850556767,0.00022914291087509727
0.8,7,0.04235548271207106,0.04242693558325249,9.000913242009133,0.005387353864389957,0.0018648311398530978,0.0005985341397632916
