model,R0,beta,gamma,peak_i,t_peak,s_final,i_final,r_final,n_local_peaks,largest_local_peak,mass_error_max,min_state_value,max_mass_error,min_value
basic_sir,2.0,104.0,52.0,0.15346142924673364,0.17397260273972603,0.20315364519190032,3.63870982263569e-12,0.7968463548044598,1,0.15346142924673364,1.3322676295501878e-15,0.0,1.3322676295501878e-15,0.0
basic_sir,8.0,416.0,52.0,0.6146457819746174,0.031506849315068496,0.0003364758350980588,1.1715843572583894e-22,0.9996635241649017,1,0.6146457819746174,4.440892098500626e-16,0.0,4.440892098500626e-16,0.0
basic_sir,15.0,780.0,52.0,0.7521238304451243,0.016438356164383564,3.143105854347153e-07,5.103405620352496e-23,0.9999996856894146,1,0.7521238304451243,6.661338147750939e-16,0.0,6.661338147750939e-16,0.0
