alpha,sample_index,t_sample,i_sample
0.0,1,61.0,0.0002611007473107717
0.0,2,62.0,0.000252696955077583
0.0,3,63.0,0.000257799787130042
0.0,4,64.0,0.00025563218559993955
0.0,5,65.0,0.00025557224992604245
0.0,6,66.0,0.0002575990832303716
0.0,7,67.0,0.00025416564425120495
0.0,8,68.0,0.00025880862107596417
0.0,9,69.0,0.00025337254996325395
0.0,10,70.0,0.0002594486657485168
0.0,11,71.0,0.0002530248352620044
0.0,12,72.0,0.0002596785457536887
0.0,13,73.0,0.000252988304495962
0.0,14,74.0,0.000259627912571008
0.0,15,75.0,0.0002531578049143804
0.0,16,76.0,0.00025939839929275607
0.0,17,77.0,0.0002534527609078117
0.0,18,78.0,0.0002590668369348259
0.0,19,79.0,0.00025381310443398547
0.0,20,80.0,0.0002586891252003744
0.0,21,81.0,0.00025419558817696446
0.0,22,82.0,0.00025830416643781595
0.0,23,83.0,0.00025457048330809626
0.0,24,84.0,0.0002579375170992755
0.0,25,85.0,0.0002549186696031189
0.0,26,86.0,0.0002576045848010652
0.0,27,87.0,0.0002552291223169497
0.0,28,88.0,0.0002573133119693121
0.0,29,89.0,0.0002554967908087479
0.0,30,90.0,0.0002570663543970631
0.0,31,91.0,0.00025572085216881053
0.0,32,92.0,0.00025686279914089995
0.0,33,93.0,0.0002559033120453929
0.0,34,94.0,0.0002566994822766501
0.0,35,95.0,0.00025604791639370015
0.0,36,96.0,0.0002565719711113034
0.0,37,97.0,0.000256159332769151
0.0,38,98.0,0.00025647527282245943
0.0,39,99.0,0.0002562425580405662
0.0,40,100.0,0.0002564043255031496
0.0,41,101.0,0.00025630251047859486
0.0,42,102.0,0.00025635432022585547
0.0,43,103.0,0.00025634376733025584
0.0,44,104.0,0.0002563208951401013
0.0,45,105.0,0.0002563704134469533
0.0,46,106.0,0.00025630023539489227
0.0,47,107.0,0.00025638597161231646
0.0,48,108.0,0.00025628910613037466
0.0,49,109.0,0.0002563933903899076
0.0,50,110.0,0.0002562848400367631
0.0,51,111.0,0.0002563950702102024
0.0,52,112.0,0.0002562852960576991
0.0,53,113.0,0.0002563929128152564
0.0,54,114.0,0.0002562888016904276
0.0,55,115.0,0.00025638838296525117
0.0,56,116.0,0.0002562940879479549
0.0,57,117.0,0.0002563825744539676
0.0,58,118.0,0.0002563002233244844
0.0,59,119.0,0.0002563762750070829
0.0,60,120.0,0.00025630655096341474
0.013333333333333334,1,61.0,0.0004468708794800583
0.013333333333333334,2,62.0,0.00012954818933915273
0.013333333333333334,3,63.0,0.0004477861019462574
0.013333333333333334,4,64.0,0.00012914091047754573
0.013333333333333334,5,65.0,0.000448707976095178
0.013333333333333334,6,66.0,0.00012873771175806614
0.013333333333333334,7,67.0,0.00044964713109611163
0.013333333333333334,8,68.0,0.00012833225204986982
0.013333333333333334,9,69.0,0.00045061036597555173
0.013333333333333334,10,70.0,0.00012792045870943085
0.013333333333333334,11,71.0,0.00045160221564915744
0.013333333333333334,12,72.0,0.00012749969197293373
0.013333333333333334,13,73.0,0.00045262585002791607
0.013333333333333334,14,74.0,0.00012706821580433218
0.013333333333333334,15,75.0,0.0004536836022908862
0.013333333333333334,16,76.0,0.0001266248656239889
0.013333333333333334,17,77.0,0.00045477728364612857
0.013333333333333334,18,78.0,0.00012616884109676
0.013333333333333334,19,79.0,0.00045590837175122647
0.013333333333333334,20,80.0,0.00012569957783428653
0.013333333333333334,21,81.0,0.0004570781227862092
0.013333333333333334,22,82.0,0.00012521666871366033
0.013333333333333334,23,83.0,0.000458287636602164
0.013333333333333334,24,84.0,0.00012471981634692273
0.013333333333333334,25,85.0,0.00045953789257820345
0.013333333333333334,26,86.0,0.00012420880511662373
0.013333333333333334,27,87.0,0.0004608297668791385
0.013333333333333334,28,88.0,0.00012368348553043598
0.013333333333333334,29,89.0,0.00046216403764263585
0.013333333333333334,30,90.0,0.00012314376636842394
0.013333333333333334,31,91.0,0.0004635413820968467
0.013333333333333334,32,92.0,0.00012258961179652968
0.013333333333333334,33,93.0,0.00046496236806493706
0.013333333333333334,34,94.0,0.00012202104167845107
0.013333333333333334,35,95.0,0.0004664274413692458
0.013333333333333334,36,96.0,0.00012143813397428846
0.013333333333333334,37,97.0,0.0004679369100747401
