alpha,peak_index,t_peak,i_peak,prominence
0.0,1,60.58904109589041,0.00027642814042982137,2.785763377769531e-05
0.0,2,62.53972602739726,0.00027256411686138454,3.0275193375727368e-05
0.0,3,64.4876712328767,0.000269455318558119,2.4558602170683533e-05
0.0,4,66.43835616438356,0.00026694977506489757,1.9923043358380937e-05
0.0,5,68.38630136986302,0.0002649281099902303,1.6163710680687667e-05
0.0,6,70.33424657534246,0.0002632948930248977,1.3114362690042655e-05
0.0,7,72.28493150684932,0.00026197457212183536,1.0640817487880686e-05
0.0,8,74.23287671232877,0.00026090628167960085,8.634090281672586e-06
0.0,9,76.18356164383562,0.00026004152060792274,7.005988556438563e-06
0.0,10,78.13150684931507,0.00025934113492968966,5.685050924791196e-06
0.0,11,80.08219178082192,0.000258773682039169,4.613217607238589e-06
0.0,12,82.03013698630137,0.0002583137981901575,3.7435438956847917e-06
0.0,13,83.98082191780821,0.0002579409750399546,3.0378287465729456e-06
0.0,14,85.92876712328767,0.00025763870380975004,2.4651946693856437e-06
0.0,15,87.87671232876713,0.00025739355902005325,2.000504570577968e-06
0.0,16,89.82739726027397,0.00025719474581954775,1.6234247021200648e-06
0.0,17,91.77534246575343,0.0002570334707844302,1.3174286884658844e-06
0.0,18,93.72602739726028,0.00025690264427279775,1.06910846064094e-06
0.0,19,95.67397260273972,0.0002567965074799204,8.676031377003639e-07
0.013333333333333334,1,61.06301369863014,0.00045527329004211605,0.0003253038286317722
0.013333333333333334,2,63.06301369863014,0.0004560138032655535,0.0003382416367003399
0.013333333333333334,3,65.06301369863014,0.00045683913995819007,0.00033944883763333434
0.013333333333333334,4,67.06301369863014,0.00045773208426497757,0.000340692999724427
0.013333333333333334,5,69.06027397260274,0.00045868470754068067,0.00034198117125181757
0.013333333333333334,6,71.06027397260274,0.00045968710606301944,0.0003433128931319742
0.013333333333333334,7,73.06027397260274,0.00046073588505480406,0.0003446910116923353
0.013333333333333334,8,75.06027397260274,0.0004618293885402964,0.0003461185545430461
0.013333333333333334,9,77.06027397260274,0.0004629670226054382,0.00034759627229273966
0.013333333333333334,10,79.06027397260274,0.0004641488656280835,0.0003491257817757774
0.013333333333333334,11,81.06027397260274,0.0004653754165311007,0.00035070857703001435
0.013333333333333334,12,83.06027397260274,0.00046664743114295006,0.0003523463369904174
0.013333333333333334,13,85.06027397260274,0.00046796581428409825,0.0003540416577380382
0.013333333333333334,14,87.06027397260274,0.00046933154675298,0.0003557942991142417
0.013333333333333334,15,89.06027397260274,0.0004707456338747398,0.0003576054218042939
0.013333333333333334,16,91.06027397260274,0.00047220906708457305,0.0003594761479946286
0.013333333333333334,17,93.06027397260274,0.000473722793089175,0.0003614094141010829
0.013333333333333334,18,95.06027397260274,0.00047528768710842725,0.00036340406919155874
0.013333333333333334,19,97.06027397260274,0.000476904527949925,0.0003654607853694949
0.013333333333333334,20,99.06027397260274,0.0004785739734725552,0.00036758108692241324
0.013333333333333334,21,101.06027397260274,0.0004802965355201857,0.00036976558669488206
0.013333333333333334,22,103.06027397260274,0.0004820725537569329,0.0003720130655095222
0.013333333333333334,23,105.06027397260274,0.00048390216808346515,0.00037432396116810916
0.013333333333333334,24,107.06301369863014,0.00048578579503913183,0.000376699600279789
0.013333333333333334,25,109.06301369863014,0.00048772454964843677,0.00037913873145908005
0.013333333333333334,26,111.06301369863014,0.000489716194511258,0.0003816395569504882
0.013333333333333334,27,113.06301369863014,0.0004917597947556774,0.0003842013365127105
0.013333333333333334,28,115.06301369863014,0.0004938540578782202,0.0003868203136058692
