model,R0,beta,gamma,peak_i,t_peak,s_final,i_final,r_final,n_local_peaks,largest_local_peak,mass_error_max,min_state_value,max_mass_error,min_value,width_days_at_fractional_peak,width_fraction,mean_infectious_period_days,t_peak_days
basic_sir_gamma_comparison,8.0,208.0,26.0,0.6146478049751728,0.06301369863013699,0.0003363655141976682,9.130982274571295e-06,0.9996545035035272,1,0.6146478049751728,6.661338147750939e-16,0.0,6.661338147750939e-16,0.0,18.000000000000004,0.5,14.038461538461538,23.0
basic_sir_gamma_comparison,8.0,416.0,52.0,0.6146457819746174,0.031506849315068496,0.0003364758351557677,2.1381225863884947e-11,0.9996635241434634,1,0.6146457819746174,4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,8.5,0.5,7.019230769230769,11.5
basic_sir_gamma_comparison,8.0,832.0,104.0,0.6092733437925019,0.015068493150684932,0.0003391739805817539,1.1771399126848937e-22,0.9996608260194174,1,0.6092733437925019,7.771561172376096e-16,0.0,7.771561172376096e-16,0.0,4.000000000000001,0.5,3.5096153846153846,5.5
