t,model,s,i,r,R0,beta,gamma
0.0,basic_sir_gamma_comparison,0.9999,0.0001,0.0,8.0,208.0,26.0
0.0027397260273972603,basic_sir_gamma_comparison,0.9998261337294767,0.0001646317220933954,9.2345484299745e-06,8.0,208.0,26.0
0.005479452054794521,basic_sir_gamma_comparison,0.9997045416179059,0.0002710212519694526,2.4437130124741938e-05,8.0,208.0,26.0
0.008219178082191782,basic_sir_gamma_comparison,0.9995044145409192,0.0004461225453087239,4.946291377215352e-05,8.0,208.0,26.0
0.010958904109589041,basic_sir_gamma_comparison,0.9991751010144632,0.0007342446824116854,9.065430312521635e-05,8.0,208.0,26.0
0.0136986301369863,basic_sir_gamma_comparison,0.9986334068925521,0.0012081527560520219,0.00015844035139590376,8.0,208.0,26.0
0.016438356164383564,basic_sir_gamma_comparison,0.9977429007830843,0.001987143532129881,0.0002699556847859763,8.0,208.0,26.0
0.019178082191780823,basic_sir_gamma_comparison,0.9962804224074406,0.003266264106066151,0.0004533134864933107,8.0,208.0,26.0
0.021917808219178082,basic_sir_gamma_comparison,0.993882496723819,0.0053629672605830445,0.0007545360155980306,8.0,208.0,26.0
0.024657534246575342,basic_sir_gamma_comparison,0.9899612451938562,0.008790069649692417,0.001248685156451516,8.0,208.0,26.0
0.0273972602739726,basic_sir_gamma_comparison,0.9835767988720292,0.014365756031546113,0.0020574450964247395,8.0,208.0,26.0
0.030136986301369864,basic_sir_gamma_comparison,0.9732551480364331,0.02336872433286212,0.0033761276307047797,8.0,208.0,26.0
0.03287671232876713,basic_sir_gamma_comparison,0.9567575225822516,0.03772930924235922,0.005513168175389268,8.0,208.0,26.0
0.03561643835616438,basic_sir_gamma_comparison,0.9308628310566229,0.06019423345090172,0.008942935492475353,8.0,208.0,26.0
0.038356164383561646,basic_sir_gamma_comparison,0.8913525428298448,0.09428301043338289,0.014364446736772257,8.0,208.0,26.0
0.0410958904109589,basic_sir_gamma_comparison,0.8335902926017104,0.14367046953516022,0.022739237863129355,8.0,208.0,26.0
0.043835616438356165,basic_sir_gamma_comparison,0.7541917617424962,0.21055701726079484,0.03525122099670887,8.0,208.0,26.0
0.04657534246575343,basic_sir_gamma_comparison,0.6537647180194174,0.29312160406022214,0.053113677920360404,8.0,208.0,26.0
0.049315068493150684,basic_sir_gamma_comparison,0.5391684710649352,0.3836278848029578,0.077203644132107,8.0,208.0,26.0
0.052054794520547946,basic_sir_gamma_comparison,0.42256738280553796,0.4697690691649894,0.10766354802947256,8.0,208.0,26.0
0.0547945205479452,basic_sir_gamma_comparison,0.3166354023611653,0.5396262532228515,0.14373834441598313,8.0,208.0,26.0
0.057534246575342465,basic_sir_gamma_comparison,0.22945902207499025,0.5865491463622388,0.18399183156277094,8.0,208.0,26.0
0.06027397260273973,basic_sir_gamma_comparison,0.16298924755297323,0.6102635857188062,0.22674716672822048,8.0,208.0,26.0
0.06301369863013699,basic_sir_gamma_comparison,0.11487851732930524,0.6146478049751728,0.27047367769552194,8.0,208.0,26.0
0.06575342465753425,basic_sir_gamma_comparison,0.08111261649116384,0.604908733290352,0.31397865021848415,8.0,208.0,26.0
0.0684931506849315,basic_sir_gamma_comparison,0.057755588721451256,0.5858131158272676,0.35643129545128105,8.0,208.0,26.0
