t,model,s,i,r,R0,beta0,gamma,mu
0.0,demographic_sir,0.9999,0.0001,0.0,15.0,780.2142857142857,52.0,0.014285714285714285
0.0027397260273972603,demographic_sir,0.9992255869093305,0.0007294444531798499,4.496863748966108e-05,15.0,780.2142857142857,52.0,0.014285714285714285
0.005479452054794521,demographic_sir,0.994330600129067,0.005297122927802472,0.00037227694313047655,15.0,780.2142857142857,52.0,0.014285714285714285
0.008219178082191782,demographic_sir,0.9600304337439592,0.037257117275702765,0.0027124489803379806,15.0,780.2142857142857,52.0,0.014285714285714285
0.010958904109589041,demographic_sir,0.7680140769684353,0.21438515293433197,0.01760077009723282,15.0,780.2142857142857,52.0,0.014285714285714285
0.0136986301369863,demographic_sir,0.32157145656955677,0.6027656985859781,0.07566284484446524,15.0,780.2142857142857,52.0,0.014285714285714285
0.016438356164383564,demographic_sir,0.07168321192631977,0.7521708249212087,0.1761459631524716,15.0,780.2142857142857,52.0,0.014285714285714285
0.019178082191780823,demographic_sir,0.015056696299652835,0.7040763561801571,0.2808669475201901,15.0,780.2142857142857,52.0,0.014285714285714285
0.021917808219178082,demographic_sir,0.0036906142311642076,0.6210016876590642,0.3753076981097717,15.0,780.2142857142857,52.0,0.014285714285714285
0.024657534246575342,demographic_sir,0.0010929495036157127,0.5409405921089131,0.45796645838747124,15.0,780.2142857142857,52.0,0.014285714285714285
0.0273972602739726,demographic_sir,0.00039635265559195376,0.4697709968923325,0.5298326504520756,15.0,780.2142857142857,52.0,0.014285714285714285
0.030136986301369864,demographic_sir,0.00018118007035332334,0.4076119882002176,0.5922068317294291,15.0,780.2142857142857,52.0,0.014285714285714285
0.03287671232876713,demographic_sir,0.0001074906289503258,0.3535786439068607,0.646313865464189,15.0,780.2142857142857,52.0,0.014285714285714285
0.03561643835616438,demographic_sir,8.146564660238925e-05,0.3066779358103461,0.6932405985430515,15.0,780.2142857142857,52.0,0.014285714285714285
0.038356164383561646,demographic_sir,7.371535415111605e-05,0.26598956948579844,0.7339367151600504,15.0,780.2142857142857,52.0,0.014285714285714285
0.0410958904109589,demographic_sir,7.396059483656723e-05,0.2306979103257087,0.7692281290794547,15.0,780.2142857142857,52.0,0.014285714285714285
0.043835616438356165,demographic_sir,7.825257371278984e-05,0.20008982641169695,0.7998319210145902,15.0,780.2142857142857,52.0,0.014285714285714285
0.04657534246575343,demographic_sir,8.495285077856043e-05,0.1735447726938968,0.8263702744553246,15.0,780.2142857142857,52.0,0.014285714285714285
0.049315068493150684,demographic_sir,9.334053642195149e-05,0.1505237765783648,0.8493828828852132,15.0,780.2142857142857,52.0,0.014285714285714285
