model,R0,beta0,gamma,mu,alpha,peak_i,t_peak,s_final,i_final,r_final,n_local_peaks,largest_local_peak,mass_error_max,min_state_value
seasonal_vital_sir_late,15.0,780.2142857142857,52.0,0.014285714285714285,0.0,0.00044953839847019025,41.02739726027397,0.06698318176343146,0.00024857050665212606,0.9327682477299244,10,0.00044953839847019025,8.43769498715119e-15,0.0001179710644385662
seasonal_vital_sir_late,15.0,780.2142857142857,52.0,0.014285714285714285,0.05,0.0012855626116524113,45.28219178082192,0.06485628733007795,3.4960682507066485e-05,0.9351087519874126,17,0.0012855626116524113,5.773159728050814e-15,1.0845634678800059e-05
seasonal_vital_sir_late,15.0,780.2142857142857,52.0,0.014285714285714285,0.1,0.005532141720433946,55.95890410958904,0.09134989879748753,5.869768270161287e-05,0.9085914035198074,5,0.005532141720433946,4.218847493575595e-15,4.444556390863245e-13
seasonal_vital_sir_late,15.0,780.2142857142857,52.0,0.014285714285714285,0.2,0.013839202211607766,46.986301369863014,0.05727875315607383,3.880490921732748e-09,0.9427212429634381,4,0.013839202211607766,2.886579864025407e-15,1.713970251503919e-24
seasonal_vital_sir_late,15.0,780.2142857142857,52.0,0.014285714285714285,0.3,0.009383699274662267,54.22191780821918,0.0621224534445591,8.400710957785095e-07,0.9378767064843421,7,0.009383699274662267,6.328271240363392e-15,5.363430325885688e-25
seasonal_vital_sir_late,15.0,780.2142857142857,52.0,0.014285714285714285,0.4,0.01193303629114422,52.23561643835617,0.06359287110148373,6.725581901223139e-27,0.9364071288985162,6,0.01193303629114422,2.886579864025407e-15,6.950154831607455e-28
seasonal_vital_sir_late,15.0,780.2142857142857,52.0,0.014285714285714285,0.6,0.030273821580302406,43.912328767123284,0.026045788918870428,2.7549783754365155e-16,0.9739542110811287,4,0.030273821580302406,3.3306690738754696e-15,7.484028181218666e-44
