t,beta_t,i_t,alpha,R0,beta0
42.0,1014.2785714285714,3.737245838023364e-24,0.3,15.0,780.2142857142857
42.0027397260274,1014.2438922788823,3.864901826791625e-24,0.3,15.0,780.2142857142857
42.00547945205479,1014.1398651059957,3.9972772676010204e-24,0.3,15.0,780.2142857142857
42.00821917808219,1013.9665207354076,4.134508091201204e-24,0.3,15.0,780.2142857142857
42.010958904109586,1013.723910532797,4.276731017633183e-24,0.3,15.0,780.2142857142857
42.013698630136986,1013.4121063888016,4.424083268385041e-24,0.3,15.0,780.2142857142857
42.016438356164386,1013.0312006977189,4.57670225405747e-24,0.3,15.0,780.2142857142857
42.01917808219178,1012.5813063301276,4.7347252367850445e-24,0.3,15.0,780.2142857142857
42.02191780821918,1012.0625565994352,4.89828896671201e-24,0.3,15.0,780.2142857142857
42.02465753424658,1011.475105222384,5.067529291896629e-24,0.3,15.0,780.2142857142857
42.02739726027397,1010.819126273495,5.242580741116686e-24,0.3,15.0,780.2142857142857
42.03013698630137,1010.0948141334883,5.423576079137027e-24,0.3,15.0,780.2142857142857
42.032876712328765,1009.3023834316853,5.6106458341095985e-24,0.3,15.0,780.2142857142857
42.035616438356165,1008.4420689824001,5.803917796916728e-24,0.3,15.0,780.2142857142857
42.038356164383565,1007.5141257153733,6.003516492379234e-24,0.3,15.0,780.2142857142857
42.04109589041096,1006.5188286002252,6.209562622426519e-24,0.3,15.0,780.2142857142857
42.04383561643836,1005.4564725649644,6.422172481472257e-24,0.3,15.0,780.2142857142857
42.04657534246575,1004.3273724086191,6.641457344413955e-24,0.3,15.0,780.2142857142857
42.04931506849315,1003.1318627079262,6.86752282788295e-24,0.3,15.0,780.2142857142857
42.05205479452055,1001.8702977182144,7.100468225543088e-24,0.3,15.0,780.2142857142857
42.054794520547944,1000.543051268417,7.340385818480796e-24,0.3,15.0,780.2142857142857
42.057534246575344,999.1505166503018,7.587360161936229e-24,0.3,15.0,780.2142857142857
42.06027397260274,997.6931065019342,7.84146734986081e-24,0.3,15.0,780.2142857142857
42.06301369863014,996.1712526853851,8.102774259056501e-24,0.3,15.0,780.2142857142857
42.06575342465754,994.585406158789,8.371337774873715e-24,0.3,15.0,780.2142857142857
42.06849315068493,992.9360368427031,8.647204000744712e-24,0.3,15.0,780.2142857142857
42.07123287671233,991.223633480841,8.930407454078322e-24,0.3,15.0,780.2142857142857
42.07397260273973,989.4487034952808,9.220970251317132e-24,0.3,15.0,780.2142857142857
42.07671232876712,987.6117728360896,9.518901285257346e-24,0.3,15.0,780.2142857142857
42.07945205479452,985.7133858254538,9.824195397992887e-24,0.3,15.0,780.2142857142857
42.082191780821915,983.7541049964275,1.0136832553122418e-23,0.3,15.0,780.2142857142857
42.084931506849315,981.7345109261925,1.0456777011161584e-23,0.3,15.0,780.2142857142857
42.087671232876716,979.6552020640644,1.0783976512329023e-23,0.3,15.0,780.2142857142857
42.09041095890411,977.5167945541343,1.1118361471179499e-23,0.3,15.0,780.2142857142857
42.09315068493151,975.3199220526978,1.1459844187779067e-23,0.3,15.0,780.2142857142857
42.0958904109589,973.0652355404973,1.1808318080350562e-23,0.3,15.0,780.2142857142857
42.0986301369863,970.7534031297914,1.2163656944565604e-23,0.3,15.0,780.2142857142857
42.1013698630137,968.3851098664243,1.252571424480681e-23,0.3,15.0,780.2142857142857
42.104109589041094,965.9610575268098,1.2894322442944619e-23,0.3,15.0,780.2142857142857
42.106849315068494,963.4819644099556,1.3269292370286406e-23,0.3,15.0,780.2142857142857
42.10958904109589,960.9485651246719,1.3650412648467834e-23,0.3,15.0,780.2142857142857
42.11232876712329,958.3616103718252,1.4037449165170187e-23,0.3,15.0,780.2142857142857
42.11506849315069,955.7218667219482,1.4430144610536456e-23,0.3,15.0,780.2142857142857
42.11780821917808,953.0301163880547,1.4828218080215143e-23,0.3,15.0,780.2142857142857
42.12054794520548,950.2871569938615,1.523136475088596e-23,0.3,15.0,780.2142857142857
42.12328767123288,947.4938013374348,1.563925563403566e-23,0.3,15.0,780.2142857142857
42.12602739726027,944.6508771503507,1.6051537413646036e-23,0.3,15.0,780.2142857142857
42.12876712328767,941.7592268523823,1.6467832373244827e-23,0.3,15.0,780.2142857142857
42.131506849315066,938.819707301939,1.688773841753217e-23,0.3,15.0,780.2142857142857
42.134246575342466,935.8331895420844,1.7310829193544756e-23,0.3,15.0,780.2142857142857
42.136986301369866,932.8005585424943,1.7736654315917783e-23,0.3,15.0,780.2142857142857
42.13972602739726,929.722712937194,1.8164739700467386e-23,0.3,15.0,780.2142857142857
42.14246575342466,926.6005647582411,1.8594588009827708e-23,0.3,15.0,780.2142857142857
42.14520547945205,923.4350391655436,1.9025679214371782e-23,0.3,15.0,780.2142857142857
42.14794520547945,920.2270741726308,1.9457471271128003e-23,0.3,15.0,780.2142857142857
42.15068493150685,916.9776203687743,1.9889400922736272e-23,0.3,15.0,780.2142857142857
42.153424657534245,913.687640637265,2.0320884617894284e-23,0.3,15.0,780.2142857142857
42.156164383561645,910.3581098701011,2.0751319554006653e-23,0.3,15.0,780.2142857142857
42.15890410958904,906.990014679117,2.1180084842009007e-23,0.3,15.0,780.2142857142857
