model,R0,beta,gamma,peak_i,t_peak,s_final,i_final,r_final,n_local_peaks,largest_local_peak,mass_error_max,min_state_value,max_mass_error,min_value,beta0,mu
basic_sir,15.0,780.0,52.0,0.7521238304451243,0.016438356164383564,3.143105854347153e-07,2.877710404955237e-226,0.9999996856894146,1,0.7521238304451243,6.661338147750939e-16,0.0,6.661338147750939e-16,0.0,,
demographic_sir,15.0,,52.0,0.7521708249212087,0.016438356164383564,0.030172412038907335,0.0011318422894733625,0.9686957456716213,2,0.7521708249212087,3.3306690738754696e-15,0.0,3.3306690738754696e-15,0.0,780.2142857142857,0.014285714285714285
