t,model,s,i,r,R0,beta0,gamma,mu,alpha
40.0,seasonal_vital_sir,0.06644901005462593,0.00011827406257010348,0.9334327158828116,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.01917808219178,seasonal_vital_sir,0.06658719006390922,0.00011801143391040731,0.933294798502188,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.038356164383565,seasonal_vital_sir,0.06672522811431221,0.00011799300801310341,0.9331567788776823,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.057534246575344,seasonal_vital_sir,0.06686288163653298,0.00011821820492198351,0.9330189001585526,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.07671232876712,seasonal_vital_sir,0.06699990709133481,0.00011868752163891283,0.9328814053870339,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.0958904109589,seasonal_vital_sir,0.06713605891205106,0.00011940252119296153,0.9327445385667635,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.11506849315069,seasonal_vital_sir,0.06727108845833196,0.00012036582164960228,0.9326085457200259,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.134246575342466,seasonal_vital_sir,0.06740474298206309,0.00012158108446468512,0.9324736759334796,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.153424657534245,seasonal_vital_sir,0.06753676460732043,0.00012305300136017575,0.9323401823913268,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.17260273972603,seasonal_vital_sir,0.06766688932740728,0.00012478727865627236,0.9322083233939439,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.19178082191781,seasonal_vital_sir,0.06779484602347137,0.00012679061773313642,0.9320783633588028,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.21095890410959,seasonal_vital_sir,0.06792035551094648,0.00012907069001141957,0.9319505737990494,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.23013698630137,seasonal_vital_sir,0.06804312962212772,0.00013163610453137945,0.9318252342733484,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.24931506849315,seasonal_vital_sir,0.06816287033560528,0.0001344963658744836,0.9317026332985278,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.26849315068493,seasonal_vital_sir,0.06827926896606808,0.0001376618198095355,0.9315830692141298,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.28767123287671,seasonal_vital_sir,0.06839200543117158,0.00014114358366073065,0.9314668509851751,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.30684931506849,seasonal_vital_sir,0.06850074761575327,0.00014495345799391338,0.9313542989262604,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.326027397260276,seasonal_vital_sir,0.06860515085768001,0.00014910381581035754,0.9312457453265173,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.345205479452055,seasonal_vital_sir,0.06870485758400086,0.00015360746504029912,0.9311415349509666,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.364383561643834,seasonal_vital_sir,0.06879949713081976,0.000158477479763638,0.9310420253894244,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.38356164383562,seasonal_vital_sir,0.068888685785313,0.00016372699528259158,0.9309475872194121,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.4027397260274,seasonal_vital_sir,0.06897202709348081,0.0001693689619699157,0.9308586039445569,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.42191780821918,seasonal_vital_sir,0.06904911248236448,0.00017541585276578293,0.9307754716648773,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.441095890410956,seasonal_vital_sir,0.06911952225033967,0.00018187931935676957,0.9306985984303112,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.46027397260274,seasonal_vital_sir,0.06918282698339956,0.00018876979251325073,0.930628403224095,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
40.47945205479452,seasonal_vital_sir,0.06923858945866197,0.00019609602286828283,0.9305653145184778,15.0,780.2142857142857,52.0,0.014285714285714285,0.0
