model,R0,beta,gamma,s0,i0,r0,threshold_1_over_R0,threshold_label,peak_i,peak_increase_over_i0,mass_error_max,min_state_value
basic_sir_threshold,8.0,416.0,52.0,0.5024057971014493,0.0001,0.49749420289855073,0.125,above_threshold,0.20361899502623737,0.20351899502623738,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.5165942028985507,0.0001,0.4833057971014493,0.125,above_threshold,0.21432621269202967,0.21422621269202968,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.5307826086956522,0.0001,0.4691173913043478,0.125,above_threshold,0.22512775865905374,0.22502775865905375,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.5449710144927536,0.0001,0.45492898550724636,0.125,above_threshold,0.23601865555154916,0.23591865555154917,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.5591594202898551,0.0001,0.4407405797101449,0.125,above_threshold,0.24699430984632081,0.24689430984632083,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.5733478260869566,0.0001,0.42655217391304345,0.125,above_threshold,0.2580504733899255,0.2579504733899255,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.587536231884058,0.0001,0.412363768115942,0.125,above_threshold,0.26918320962075415,0.26908320962075416,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.6017246376811594,0.0001,0.39817536231884065,0.125,above_threshold,0.280388863822191,0.28028886382219104,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.6159130434782608,0.0001,0.3839869565217392,0.125,above_threshold,0.29166403684299613,0.29156403684299614,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.6301014492753623,0.0001,0.36979855072463774,0.125,above_threshold,0.30300556181098026,0.3029055618109803,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.6442898550724637,0.0001,0.3556101449275363,0.125,above_threshold,0.31441048343993916,0.31431048343993917,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.6584782608695652,0.0001,0.34142173913043483,0.125,above_threshold,0.32587603959082934,0.32577603959082935,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.6726666666666666,0.0001,0.3272333333333334,0.125,above_threshold,0.3373996447987737,0.3372996447987737,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.6868550724637681,0.0001,0.3130449275362319,0.125,above_threshold,0.34897887551963713,0.34887887551963714,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.7010434782608695,0.0001,0.29885652173913047,0.125,above_threshold,0.3606114568851688,0.36051145688516884,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.715231884057971,0.0001,0.284668115942029,0.125,above_threshold,0.37229525078531034,0.37219525078531035,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.7294202898550725,0.0001,0.27047971014492755,0.125,above_threshold,0.3840282451212168,0.3839282451212168,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.7436086956521739,0.0001,0.2562913043478261,0.125,above_threshold,0.3958085440936438,0.3957085440936438,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.7577971014492754,0.0001,0.24210289855072464,0.125,above_threshold,0.40763435940926107,0.4075343594092611,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.7719855072463768,0.0001,0.2279144927536232,0.125,above_threshold,0.41950400230270946,0.41940400230270947,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.7861739130434783,0.0001,0.21372608695652173,0.125,above_threshold,0.4314158762852457,0.4313158762852457,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.8003623188405797,0.0001,0.19953768115942028,0.125,above_threshold,0.443368470541985,0.44326847054198504,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.8145507246376811,0.0001,0.18534927536231893,0.125,above_threshold,0.45536035390934726,0.45526035390934727,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.8287391304347825,0.0001,0.17116086956521748,0.125,above_threshold,0.46739016937257977,0.4672901693725798,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.842927536231884,0.0001,0.15697246376811602,0.125,above_threshold,0.47945662903037756,0.47935662903037757,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.8571159420289854,0.0001,0.14278405797101457,0.125,above_threshold,0.4915585094798138,0.4914585094798138,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.8713043478260869,0.0001,0.1285956521739131,0.125,above_threshold,0.5036946475801681,0.5035946475801681,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.8854927536231884,0.0001,0.11440724637681164,0.125,above_threshold,0.5158639365589283,0.5157639365589283,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.8996811594202898,0.0001,0.10021884057971019,0.125,above_threshold,0.5280653224273233,0.5279653224273233,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.9138695652173913,0.0001,0.08603043478260873,0.125,above_threshold,0.5402978006763252,0.5401978006763252,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.9280579710144927,0.0001,0.07184202898550728,0.125,above_threshold,0.5525604132271896,0.5524604132271896,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.9422463768115942,0.0001,0.05765362318840582,0.125,above_threshold,0.5648522456133618,0.5647522456133618,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.9564347826086956,0.0001,0.043465217391304364,0.125,above_threshold,0.5771724243729943,0.5770724243729943,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.9706231884057971,0.0001,0.029276811594202912,0.125,above_threshold,0.5895201146334709,0.5894201146334709,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.9848115942028985,0.0001,0.015088405797101457,0.125,above_threshold,0.6018945178712121,0.6017945178712121,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.999,0.0001,0.0009000000000000008,0.125,above_threshold,0.6142948698317184,0.6141948698317184,0.0,0.0001
